client_id,company_name,total_savings
C82971,Massive Co,813668.19
C83948,Wayne Holdings,741331.16
C99892,Wayne Freight,741027.47
C25055,Stark Partners,732507.86
C94736,Red Logistics,709234.72
C99808,Blue Co,704477.88
C92842,Tyrell Industries,691023.05
C15499,Zenith Holdings,689676.26
C63250,Vertex Supply,686443.99
C77726,Nimbus Holdings,675990.14
C84879,Umbrella Partners,667857.46
C93089,Blue Supply,665583.25
C91097,Tyrell Freight,657521.75
C03366,Umbrella Industries,656746.12
C63096,Initech Freight,656473.49
C70464,Hooli Supply,648089.97
C60889,Wonka LLC,647968.7
C29210,Massive Group,646563.44
C86178,Massive Co,644649.72
C80551,Vertex Partners,639461.8
C77577,Zenith Holdings,638454.95
C11386,Vector LLC,629110.92
C14175,Wayne Group,627155.9
C97785,Massive Supply,622614.25
C33266,Hooli Enterprises,616718.18
C08929,Nimbus Industries,616441.98
C78191,Quantum Enterprises,616384.39
C16180,Blue Enterprises,614269.77
C20405,Initech Supply,609217.07
C56067,Hooli Logistics,597772.32
C97125,Blue Industries,591015.36
C87356,Zenith Logistics,586747.41
C49018,Green Freight,577123.11
C64279,Green Logistics,576989.52
C57382,Vector Logistics,574200.4
C83350,Stark Group,571782.15
C47375,Vertex Partners,570163.84
C35443,Nimbus Group,569953.58
C28306,Tyrell LLC,565183.43
C24911,Quantum Freight,563158.14
C21531,Green LLC,556546.5
C09581,Wonka Supply,555225.38
C73720,Massive LLC,553884.87
C72495,Umbrella Enterprises,549413.47
C81739,Massive Partners,542973.27
C98672,Stark Freight,541257.37
C43677,Apex Group,538141.42
C02145,Zenith Supply,533815.39
C15978,Vector Freight,506168.29
C14637,Hooli Supply,500953.19
